event_type,tier,spec,lag,effect,se,effect_pw,t,n_events,n_players
blunder,1900-2100,zpre,2,0.037396359748478686,0.01700757970028254,0.02649569668445712,2.198805497754477,12847,464
blunder,1900-2100,zpre,3,0.0485484117664517,0.01767280934125089,0.0640577116653745,2.747068155889211,12096,463
blunder,2100+,zpre,-6,0.021255191057053327,0.01924907435830627,0.02585966114787738,1.1042188658740042,11870,456
blunder,2100+,zpre,-5,0.03942937879719836,0.017375290539730914,0.020686581625990033,2.26927881908149,12501,458
blunder,2100+,zpre,-4,0.0270842768060298,0.01754744018256617,0.028982156391223268,1.543488766694228,13013,459
blunder,2100+,zpre,-3,-0.00023212775249712358,0.01684631568948921,0.019172262015123148,-0.013779140601167366,13961,461
blunder,2100+,zpre,-2,0.022107229563495243,0.015101378558760172,0.007061355608028596,1.4639212888727327,14899,461
blunder,2100+,zpre,-1,-0.00046691851892829446,0.013993493077015706,-0.008744154390883132,-0.033366831023428134,15786,461
blunder,2100+,zpre,0,0.302315862329344,0.01563825152231408,0.3120651301081152,19.33181992232138,17017,462
blunder,2100+,zpre,1,-0.01768676759386958,0.016696699526400946,-0.014056210577761996,-1.0592972321208232,15899,461
blunder,2100+,zpre,2,0.01114377802515225,0.01584376007951441,0.0018871109880048843,0.7033543785834575,14894,460
blunder,2100+,zpre,3,0.006021002980573682,0.018538718256041472,0.019272997704340447,0.32477989564416265,14019,460
blunder,fm_plus,nlegal,-6,0.022227269943556487,0.014766167986884666,0.03723629810804909,1.50528356194368,16161,136
blunder,fm_plus,nlegal,-5,0.03319485448213371,0.015238897560626,0.03212944129746485,2.178297632756716,16663,136
blunder,fm_plus,nlegal,-4,0.05510311879634548,0.01289090843217119,0.04941367350455365,4.274572198405149,17075,136
blunder,fm_plus,nlegal,-3,0.06673673168389026,0.011201446129054354,0.05555760366945352,5.957867485590835,17439,136
blunder,fm_plus,nlegal,-2,0.07476269031086166,0.013363915440212567,0.04858459033085147,5.594370201258359,17792,136
blunder,fm_plus,nlegal,-1,0.09504468971433351,0.01229078238759232,0.09364187341052818,7.7330056555457505,17727,136
blunder,fm_plus,nlegal,0,0.3559178566064296,0.012048931027818888,0.34957856775944823,29.539372064183713,19134,136
blunder,fm_plus,nlegal,1,0.03254908159466046,0.01365828378590415,0.032426055076932164,2.3831018673262823,17506,136
blunder,fm_plus,nlegal,2,0.05238162548042811,0.012385953576196781,0.045340608552680475,4.229115276283181,17034,136
blunder,fm_plus,nlegal,3,0.045929124061316155,0.013231628270860033,0.027181466921974734,3.4711619100172046,16490,136
blunder,fm_plus,none,-6,0.0635367670918461,0.013630964615071328,0.08369505110159305,4.661208424060869,17157,136
blunder,fm_plus,none,-5,0.07787522346818945,0.014193858605886976,0.08615753639340555,5.486543555949635,17659,136
blunder,fm_plus,none,-4,0.08876557972720897,0.011659172669787143,0.10045186857353051,7.613368653269077,18060,136
blunder,fm_plus,none,-3,0.10203237098249018,0.011213065657596449,0.104030148748783,9.099417955638824,18449,136
blunder,fm_plus,none,-2,0.12111139289026576,0.014676573144397326,0.11675298714676419,8.252021210857327,18780,136
blunder,fm_plus,none,-1,0.20789484335814715,0.014523966047865225,0.2210393090942821,14.31391692000713,18707,136
blunder,fm_plus,none,0,0.4517437377492815,0.01400607563081149,0.44940171926342387,32.25341270866093,20143,136
blunder,fm_plus,none,1,0.13748166300012854,0.014435538381717296,0.14910938555169284,9.523833428634013,18490,136
blunder,fm_plus,none,2,0.10055293247092181,0.014698809238544058,0.10681670406398401,6.84088968290344,17999,136
blunder,fm_plus,none,3,0.0728983627315044,0.014583579229935344,0.0665489824979116,4.998660588195508,17479,136
blunder,fm_plus,zpre,-6,0.00769136010484109,0.03354426353636866,0.027684952199972253,0.22928987832754547,10031,136
blunder,fm_plus,zpre,-5,0.02670911638359931,0.02133035062142613,-0.003957265100567277,1.252164901441904,10489,136
blunder,fm_plus,zpre,-4,0.04034356251501503,0.02172743835509567,0.019707418962825116,1.8568025303154698,10839,136
blunder,fm_plus,zpre,-3,0.00608467815067801,0.015541742093978983,-0.00848806221153287,0.39150554126330994,11688,136
blunder,fm_plus,zpre,-2,0.0013478896125182298,0.0148333812806393,-0.01356652762871046,0.09086866891755226,12565,136
blunder,fm_plus,zpre,-1,0.028347328707217408,0.01301717476272429,0.04142663690886847,2.1776867272606824,13452,136
blunder,fm_plus,zpre,0,0.34238785110706266,0.017011393900187334,0.3277394334506273,20.12697214090682,14710,136
blunder,fm_plus,zpre,1,-0.006956864645503732,0.018585867592716073,-0.008985865384192642,-0.37430938377233325,13567,136
